CHROM,POS,A_Kalix_Baltic_Spring,B_Vaxholm_Baltic_Spring,DalBoB_Atlantic_Autumn,DalGeB_Atlantic_Autumn,DalInB_Atlantic_Spring,DalNsF_Atlantic_Autumn,DalNsS_Atlantic_Spring,G_Gamleby_Baltic_Spring,HGS10_Downs_EnglishChannel_Winter,HGS11_RingkobingFjord_NorthSea_Spring,HGS12_BornholmBasin_Baltic_Autumn,HGS15_NSSH_Atlantic_Spring,HGS16_Orkney_NorthSea_Autumn,HGS17_IsleOfMan_IrishSea_Autumn,HGS18_CelticSea_Atlantic_AutumnWinter,HGS19_TeelinBay_Atlantic_Winter,HGS1_Riga_Baltic_Spring,HGS20_CapeWrath_Atlantic_Spring,HGS21_Hebrides_Atlantic_Mixed,HGS22_CapeWrath_Atlantic_Autumn,HGS23_Clyde_Atlantic_Spring,HGS24_Landvik_Atlantic_Spring,HGS25_Lindas_Atlantic_Spring,HGS26_Lusterfjorden_Atlantic_Spring,HGS27_Gloppen_Atlantic_Spring,HGS2_Riga_Baltic_Spring,HGS3_Riga_Baltic_Autumn,HGS4_Riga_Baltic_Autumn,HGS5_Schlei_Baltic_Autumn,HGS6_Schlei_Baltic_Spring,HGS71_Rugen_Baltic_Spring,HGS72_Rugen_Baltic_Spring,HGS8_KattegatNorth_Atlantic_Spring,HGS9_Greenland_Atlantic_Spring,H_Fehmarn_Baltic_Autumn,J_Traslovslage_Baltic_Spring,LandvikS17_Norway_Baltic_Spring,N_NorthSea_Atlantic_Autumn,O_Hamburgsund_Atlantic_Spring,PB10_Skagerrak_Atlantic_Spring,PB11_Kalmar_Baltic_Spring,PB12_Karlskrona_Baltic_Spring,PB1_HastKar_Baltic_Spring,PB2_Iceland_Atlantic_Spring,PB4_Hudiksvall_Baltic_Spring,PB5_Galve_Baltic_Spring,PB6_Galve_Baltic_Summer,PB7_Galve_Baltic_Autumn,PB9_Kattegat_Atlantic_Spring,PN3_CentralBaltic_Baltic_Spring,Q_Norway_Atlantic_Atlantic_Spring,TysklandS18_Germany_Baltic
chr1,13056379,0.45,0.48,0.84,0.93,1.0,1.0,0.86,0.57,0.93,1.0,0.74,0.85,0.93,0.87,0.95,0.87,0.61,1.0,0.84,0.87,0.91,0.97,0.97,1.0,1.0,0.51,0.72,0.54,0.94,0.97,1.0,0.9,0.97,0.81,0.6,0.81,1.0,0.84,0.92,1.0,0.43,0.37,0.33,1.0,0.59,0.46,0.39,0.73,1.0,0.53,0.89,0.86
chr1,13078246,0.35,0.15,0.8,0.79,0.73,1.0,0.93,0.52,0.71,0.77,0.67,0.85,0.76,0.73,0.9,0.83,0.6,0.93,0.71,0.87,0.86,0.72,0.8,0.96,0.86,0.61,0.65,0.61,1.0,0.88,0.84,0.78,0.7,0.96,0.43,0.72,0.9,0.84,0.81,0.71,0.41,0.32,0.48,0.94,0.29,0.41,0.31,0.53,0.67,0.52,0.83,0.74
chr1,13317786,0.84,0.89,0.25,0.11,0.53,0.18,0.25,0.91,0.79,0.66,0.6,0.33,0.37,0.43,0.48,0.52,0.8,0.53,0.48,0.38,0.1,0.44,0.19,0.47,0.75,0.69,0.66,0.62,0.87,0.68,0.9,0.63,0.76,0.16,0.61,0.81,0.42,0.57,0.56,0.44,0.88,0.85,0.79,0.38,0.77,0.86,0.68,0.66,0.47,0.97,0.26,0.73
chr1,13358387,0.94,0.94,0.5,0.24,0.47,0.33,0.34,0.9,0.53,0.68,0.68,0.35,0.58,0.39,0.39,0.29,0.96,0.34,0.39,0.34,0.24,0.8,0.34,0.53,0.33,0.9,0.74,0.67,0.76,0.83,0.83,0.77,0.54,0.29,0.72,1.0,0.79,0.74,0.62,0.52,0.84,1.0,0.96,0.38,1.0,0.9,0.89,0.68,0.61,0.86,0.34,0.79
chr1,13493087,0.27,0.31,0.84,0.89,0.95,0.95,0.89,0.27,0.42,0.41,0.56,0.79,0.67,0.62,0.75,0.74,0.12,0.67,0.5,0.58,0.88,0.59,0.91,0.75,0.77,0.24,0.43,0.43,0.43,0.38,0.21,0.36,0.58,0.77,0.55,0.42,0.73,0.7,0.72,0.8,0.33,0.24,0.17,0.93,0.2,0.29,0.08,0.25,0.61,0.21,0.83,0.22
chr1,13536914,0.28,0.1,0.54,0.63,0.5,0.52,0.58,0.09,0.39,0.27,0.25,0.62,0.37,0.33,0.41,0.65,0.12,0.48,0.33,0.59,0.63,0.62,0.66,0.77,0.67,0.13,0.06,0.07,0.29,0.3,0.27,0.31,0.71,0.57,0.09,0.12,0.52,0.49,0.56,0.45,0.09,0.0,0.0,0.82,0.06,0.15,0.06,0.08,0.34,0.12,0.51,0.1
chr1,13566264,0.38,0.26,0.81,0.93,0.81,0.94,0.97,0.54,0.9,0.59,0.71,0.96,0.92,0.79,0.92,0.92,0.51,0.87,0.93,0.9,0.88,0.63,0.87,0.9,0.84,0.5,0.51,0.56,0.46,0.64,0.74,0.63,0.97,0.57,0.44,0.65,0.5,0.85,0.76,0.87,0.43,0.5,0.25,0.89,0.38,0.45,0.39,0.58,0.88,0.41,0.94,0.71
chr1,13587652,0.36,0.26,0.78,0.79,0.76,0.74,0.87,0.55,0.8,0.86,0.65,0.83,0.96,0.79,0.95,0.96,0.45,0.86,0.9,0.89,0.89,0.97,0.92,0.87,0.97,0.44,0.62,0.54,1.0,0.85,1.0,0.89,0.96,0.74,0.58,0.81,0.75,0.88,0.87,0.94,0.49,0.48,0.31,0.82,0.36,0.63,0.38,0.61,0.88,0.53,0.83,0.81
chr1,13976708,0.55,0.63,0.27,0.29,0.18,0.16,0.1,0.55,0.0,0.0,0.5,0.13,0.3,0.18,0.05,0.08,0.47,0.23,0.08,0.17,0.08,0.04,0.15,0.0,0.03,0.47,0.36,0.42,0.24,0.15,0.09,0.19,0.1,0.17,0.51,0.26,0.0,0.12,0.06,0.05,0.52,0.64,0.68,0.26,0.47,0.61,0.59,0.62,0.16,0.62,0.18,0.12
chr1,14028564,0.77,0.67,0.25,0.5,0.22,0.15,0.11,0.52,0.15,0.17,0.44,0.14,0.41,0.32,0.24,0.4,0.61,0.0,0.44,0.1,0.25,0.31,0.06,0.12,0.08,0.58,0.37,0.56,0.14,0.28,0.17,0.22,0.2,0.24,0.38,0.25,0.0,0.06,0.13,0.13,0.58,0.58,0.63,0.26,0.57,0.61,0.59,0.33,0.27,0.65,0.17,0.18
chr1,14209424,0.79,0.58,0.51,0.42,0.2,0.42,0.28,0.45,0.32,0.68,0.5,0.11,0.08,0.38,0.25,0.37,0.75,0.44,0.07,0.39,0.31,0.45,0.41,0.33,0.31,0.69,0.69,0.74,0.47,0.58,0.45,0.54,0.45,0.42,0.62,0.68,0.36,0.21,0.29,0.37,0.67,0.77,0.88,0.28,0.76,0.73,0.83,0.64,0.46,0.72,0.33,0.57
chr1,14303465,0.6,0.42,0.91,1.0,0.72,1.0,0.96,0.65,0.9,1.0,0.77,0.92,0.97,1.0,1.0,1.0,0.4,0.81,0.92,0.94,0.96,0.9,0.88,0.94,0.97,0.4,0.66,0.73,0.9,0.88,1.0,0.88,0.79,0.85,0.78,0.86,1.0,0.97,0.74,0.95,0.39,0.55,0.44,1.0,0.55,0.41,0.47,0.54,0.94,0.43,0.98,0.88
chr1,17268340,0.79,0.77,0.31,0.35,0.45,0.48,0.36,0.77,0.37,0.24,0.32,0.41,0.3,0.34,0.39,0.5,0.34,0.32,0.31,0.29,0.27,0.31,0.43,0.5,0.5,0.29,0.22,0.28,0.09,0.16,0.03,0.18,0.37,0.23,0.81,0.52,0.19,0.79,0.71,0.53,0.59,0.77,0.55,0.57,0.82,0.55,0.75,0.45,0.63,0.68,0.75,0.29
chr1,17423978,0.81,0.78,0.75,0.73,0.68,0.85,0.64,0.82,0.83,0.37,0.88,0.82,0.87,0.62,0.88,0.69,0.88,0.48,0.68,0.82,0.86,0.5,0.88,0.75,0.79,0.81,0.7,0.87,0.04,0.28,0.21,0.47,0.73,0.71,0.68,0.36,0.23,0.64,0.69,0.59,0.84,0.81,0.78,0.85,0.96,0.89,0.9,0.79,0.62,0.92,0.83,0.4
chr1,17461903,0.89,0.87,0.73,0.74,0.72,0.71,0.77,0.95,0.82,0.33,0.71,0.68,0.86,0.67,0.72,0.69,0.87,0.79,0.79,0.75,0.65,0.31,0.69,0.74,0.61,0.85,0.85,0.91,0.11,0.34,0.2,0.23,0.58,0.47,0.75,0.38,0.32,0.64,0.63,0.53,0.92,0.85,1.0,0.81,0.89,0.89,0.92,0.89,0.52,0.86,0.75,0.32
chr1,17486508,0.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.48,0.75,1.0,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,0.97,0.71,1.0,1.0,1.0,0.87,0.93,0.84,0.55,0.52,0.2,0.47,0.9,1.0,0.82,0.5,0.56,1.0,0.88,0.81,0.95,0.97,1.0,1.0,1.0,1.0,1.0,0.84,0.72,1.0,1.0,0.38
chr1,17529274,0.88,0.79,0.95,1.0,0.85,0.92,1.0,1.0,0.83,0.55,0.77,0.83,0.97,0.9,0.92,1.0,0.94,0.9,0.89,0.91,0.94,0.54,0.86,1.0,0.97,0.93,0.88,0.91,0.16,0.35,0.24,0.43,0.76,1.0,0.65,0.59,0.42,0.87,0.9,0.63,0.81,0.88,0.89,0.77,0.88,0.97,0.9,0.84,0.68,0.82,0.91,0.3
chr1,17544790,0.22,0.3,0.53,0.42,0.56,0.39,0.57,0.2,0.31,0.9,0.5,0.35,0.55,0.24,0.28,0.36,0.26,0.6,0.3,0.27,0.29,0.74,0.44,0.56,0.54,0.18,0.49,0.41,0.97,0.93,0.95,0.75,0.38,0.26,0.42,0.81,0.88,0.6,0.7,0.71,0.35,0.17,0.37,0.5,0.25,0.09,0.21,0.32,0.68,0.32,0.43,0.89
chr1,17630232,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45,0.76,1.0,1.0,1.0,1.0,1.0,0.93,1.0,1.0,1.0,1.0,0.57,1.0,1.0,1.0,0.94,0.92,0.86,0.15,0.38,0.29,0.41,0.96,1.0,0.84,0.43,0.36,1.0,0.82,0.82,0.88,1.0,1.0,1.0,0.97,1.0,1.0,0.92,0.63,0.97,1.0,0.42
chr1,17706461,0.88,0.86,0.53,0.64,0.6,0.43,0.39,0.78,0.24,0.83,0.86,0.7,0.57,0.36,0.33,0.26,0.81,0.32,0.36,0.5,0.43,0.63,0.56,0.54,0.56,0.8,0.84,0.85,1.0,0.94,1.0,0.97,0.64,0.35,0.69,0.9,0.93,0.47,0.44,0.74,0.85,0.78,0.85,0.61,0.85,0.81,0.85,0.68,0.52,0.89,0.56,1.0
chr1,17773926,0.64,0.37,0.92,0.87,0.95,0.91,0.96,0.32,0.9,0.95,0.64,0.97,0.89,0.9,1.0,0.89,0.58,0.96,0.79,0.86,1.0,0.88,0.89,0.85,0.94,0.49,0.63,0.44,0.95,0.87,1.0,0.85,0.97,0.75,0.81,0.93,0.88,0.97,0.94,1.0,0.4,0.33,0.41,0.88,0.27,0.53,0.41,0.61,0.85,0.51,0.86,0.89
chr1,17820418,0.23,0.31,0.92,0.89,0.8,0.7,0.9,0.13,0.96,0.29,0.43,0.95,0.84,0.86,1.0,0.92,0.29,0.93,0.89,0.91,0.92,0.45,0.9,0.83,1.0,0.24,0.47,0.39,0.0,0.14,0.0,0.15,0.82,0.65,0.53,0.3,0.48,0.92,0.91,0.89,0.29,0.26,0.28,0.84,0.05,0.29,0.33,0.27,0.69,0.26,0.93,0.17
chr1,17897754,1.0,0.96,0.42,0.38,0.5,0.41,0.33,1.0,0.5,0.74,0.86,0.53,0.55,0.59,0.56,0.59,1.0,0.48,0.5,0.5,0.6,0.8,0.61,0.53,0.62,1.0,0.93,0.96,0.96,0.78,1.0,0.91,0.63,0.3,0.85,0.9,0.72,0.53,0.43,0.48,1.0,1.0,1.0,0.58,1.0,1.0,1.0,1.0,0.76,1.0,0.68,1.0
chr1,17956423,0.27,0.24,0.93,0.97,1.0,0.89,0.95,0.14,1.0,0.55,0.48,0.84,0.91,0.97,0.97,1.0,0.41,0.9,0.92,0.96,0.93,0.65,0.97,0.97,1.0,0.27,0.42,0.26,0.39,0.5,0.09,0.49,0.93,0.9,0.45,0.52,0.59,0.97,0.95,0.75,0.31,0.24,0.3,0.93,0.23,0.36,0.31,0.39,0.72,0.32,1.0,0.44
chr1,18005616,0.9,0.71,0.18,0.14,0.05,0.12,0.08,0.58,0.23,0.5,0.68,0.06,0.07,0.21,0.08,0.15,0.69,0.14,0.16,0.03,0.03,0.43,0.21,0.43,0.11,0.71,0.7,0.67,0.67,0.35,0.74,0.55,0.48,0.41,0.72,0.52,0.56,0.18,0.31,0.27,0.78,0.78,0.61,0.24,0.67,0.93,0.79,0.88,0.33,0.87,0.14,0.56
chr1,18054721,0.4,0.5,0.94,0.92,1.0,1.0,1.0,0.47,1.0,0.77,0.64,0.97,1.0,1.0,1.0,1.0,0.58,1.0,1.0,1.0,1.0,0.86,0.94,1.0,1.0,0.4,0.52,0.44,0.38,0.56,0.53,0.57,0.94,0.95,0.7,0.65,0.79,0.93,0.93,0.88,0.59,0.48,0.38,1.0,0.37,0.36,0.54,0.5,0.85,0.41,1.0,0.63
chr1,18086994,0.21,0.28,0.74,0.79,0.83,0.64,0.9,0.31,0.78,0.46,0.58,0.7,0.81,0.74,0.61,0.77,0.37,0.9,0.85,0.78,0.67,0.69,0.62,0.67,0.52,0.36,0.36,0.38,0.38,0.53,0.28,0.59,0.71,0.75,0.54,0.42,0.79,0.81,0.6,0.83,0.35,0.47,0.27,0.62,0.17,0.24,0.18,0.32,0.64,0.3,0.79,0.48
chr1,18122244,0.27,0.32,0.67,0.79,0.67,0.84,0.79,0.27,0.87,0.83,0.5,0.89,0.7,0.71,0.9,0.79,0.51,0.79,0.9,0.91,0.81,0.68,0.87,0.93,0.9,0.42,0.47,0.49,0.48,0.55,0.5,0.61,0.71,0.62,0.54,0.67,0.82,0.84,0.71,0.68,0.47,0.34,0.25,0.83,0.38,0.27,0.43,0.42,0.6,0.26,0.86,0.71
chr1,18141043,0.85,0.84,0.49,0.42,0.26,0.63,0.35,0.86,0.23,0.82,0.76,0.44,0.39,0.29,0.48,0.48,0.83,0.61,0.33,0.45,0.7,0.6,0.4,0.69,0.41,0.8,0.84,0.77,0.62,0.7,0.33,0.62,0.42,0.41,0.7,0.61,0.46,0.5,0.41,0.51,0.72,0.82,0.75,0.37,0.93,1.0,0.84,0.89,0.77,0.8,0.59,0.55
chr1,18215423,0.23,0.31,0.71,0.86,0.96,0.74,0.81,0.48,0.61,0.74,0.39,0.91,0.71,0.71,0.71,0.87,0.35,0.87,0.76,0.87,0.9,0.55,0.8,0.74,0.68,0.34,0.3,0.43,0.5,0.62,0.39,0.53,0.82,0.71,0.5,0.57,0.58,0.81,0.85,0.82,0.39,0.26,0.38,0.58,0.22,0.17,0.32,0.32,0.59,0.22,0.77,0.46
chr1,18279430,0.29,0.43,0.97,0.93,1.0,0.81,1.0,0.44,0.9,0.87,0.71,0.94,0.94,0.92,0.87,0.85,0.59,0.97,0.9,0.86,0.9,0.88,0.86,0.92,0.94,0.39,0.49,0.65,0.89,0.78,0.81,0.76,1.0,0.74,0.6,0.79,1.0,1.0,0.94,0.91,0.58,0.49,0.35,0.86,0.27,0.42,0.39,0.48,0.91,0.32,0.91,0.76
chr1,18797413,0.7,0.41,1.0,1.0,1.0,1.0,1.0,0.52,1.0,0.5,0.45,1.0,1.0,1.0,1.0,1.0,0.48,1.0,1.0,1.0,1.0,0.83,1.0,1.0,1.0,0.61,0.46,0.48,0.62,0.84,0.82,0.68,0.97,1.0,0.59,0.7,0.57,1.0,0.87,0.83,0.41,0.46,0.47,1.0,0.39,0.4,0.58,0.61,0.84,0.47,1.0,0.62
chr1,18813602,0.67,0.51,0.9,1.0,0.91,0.88,0.89,0.41,0.92,0.62,0.45,0.77,0.87,0.92,0.75,0.96,0.48,0.96,0.83,0.93,0.96,0.67,0.93,0.93,0.86,0.49,0.47,0.53,0.46,0.72,0.52,0.6,0.9,1.0,0.55,0.55,0.73,0.93,0.74,0.76,0.55,0.47,0.34,0.9,0.58,0.42,0.49,0.39,0.75,0.44,0.8,0.6
chr1,18857148,0.46,0.4,0.98,1.0,1.0,1.0,1.0,0.42,1.0,0.62,0.57,1.0,0.84,1.0,0.93,0.92,0.52,1.0,1.0,1.0,0.88,0.85,0.96,0.97,0.91,0.46,0.47,0.46,0.77,0.77,0.47,0.6,1.0,1.0,0.57,0.59,0.79,1.0,0.89,0.89,0.59,0.44,0.43,1.0,0.4,0.67,0.51,0.36,0.86,0.4,0.96,0.57
chr1,18882147,0.56,0.32,1.0,1.0,1.0,1.0,1.0,0.45,1.0,0.5,0.57,1.0,1.0,1.0,1.0,1.0,0.49,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,0.54,0.6,0.54,0.57,0.78,0.73,0.67,0.97,1.0,0.63,0.74,0.65,1.0,1.0,0.89,0.59,0.39,0.5,1.0,0.43,0.51,0.58,0.72,0.89,0.46,0.98,0.55
chr1,18918483,0.24,0.31,0.64,0.76,0.65,0.62,0.63,0.25,0.56,0.38,0.21,0.64,0.77,0.68,0.62,0.58,0.25,0.48,0.82,0.72,0.53,0.56,0.51,0.64,0.5,0.24,0.22,0.26,0.37,0.48,0.26,0.33,0.56,0.59,0.33,0.33,0.25,0.54,0.58,0.64,0.27,0.13,0.24,0.63,0.19,0.17,0.1,0.18,0.52,0.0,0.56,0.37
chr1,18955050,0.65,0.58,1.0,1.0,1.0,1.0,1.0,0.58,1.0,0.5,0.58,1.0,0.97,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.91,1.0,1.0,1.0,0.45,0.54,0.46,0.53,0.72,0.67,0.59,0.97,1.0,0.59,0.68,0.72,1.0,0.97,0.82,0.53,0.59,0.62,1.0,0.44,0.58,0.61,0.58,0.9,0.58,1.0,0.49
chr1,18978410,0.54,0.56,1.0,0.97,1.0,1.0,1.0,0.52,1.0,0.5,0.71,1.0,0.89,1.0,1.0,1.0,0.55,0.93,1.0,1.0,1.0,0.92,1.0,1.0,0.97,0.41,0.54,0.53,0.41,0.7,0.57,0.6,0.97,1.0,0.57,0.6,0.66,0.98,0.95,0.93,0.62,0.55,0.59,1.0,0.46,0.57,0.62,0.44,0.85,0.41,0.92,0.58
chr1,19030227,0.48,0.57,0.86,0.93,0.89,0.92,0.91,0.52,0.85,0.63,0.48,0.9,0.91,0.97,1.0,0.94,0.59,0.88,0.89,0.91,0.77,0.8,0.77,0.87,0.84,0.49,0.52,0.4,0.69,0.64,0.42,0.71,0.94,1.0,0.59,0.76,0.62,0.9,0.89,0.8,0.56,0.48,0.32,0.89,0.39,0.38,0.39,0.52,0.81,0.49,0.91,0.73
chr1,19052312,0.59,0.56,0.97,1.0,1.0,1.0,1.0,0.39,0.93,0.61,0.55,1.0,1.0,1.0,1.0,1.0,0.62,1.0,1.0,1.0,1.0,0.87,1.0,1.0,1.0,0.53,0.53,0.66,0.52,0.79,0.48,0.65,0.97,0.96,0.63,0.69,0.69,1.0,0.92,0.9,0.65,0.4,0.44,0.95,0.58,0.49,0.63,0.56,0.8,0.52,0.94,0.6
chr1,19073925,0.63,0.62,1.0,1.0,1.0,1.0,1.0,0.44,1.0,0.58,0.58,1.0,1.0,1.0,1.0,1.0,0.54,1.0,1.0,1.0,1.0,0.86,1.0,1.0,1.0,0.55,0.46,0.52,0.59,0.72,0.75,0.68,0.97,1.0,0.51,0.59,0.67,1.0,1.0,1.0,0.68,0.48,0.5,1.0,0.32,0.43,0.7,0.43,0.85,0.45,1.0,0.64
chr1,19117558,0.83,0.63,0.95,1.0,1.0,1.0,0.97,0.5,0.93,0.58,0.62,1.0,0.96,0.81,0.97,1.0,0.62,0.97,1.0,0.9,1.0,0.69,0.84,0.88,0.95,0.42,0.63,0.57,0.61,0.79,0.65,0.5,0.92,0.96,0.62,0.61,0.68,0.92,0.92,0.85,0.59,0.48,0.37,1.0,0.52,0.54,0.53,0.43,0.83,0.46,1.0,0.55
chr1,19136592,0.81,0.52,1.0,1.0,1.0,1.0,1.0,0.49,1.0,0.69,0.8,1.0,1.0,1.0,1.0,1.0,0.48,0.93,1.0,1.0,1.0,0.92,0.94,1.0,1.0,0.5,0.68,0.53,0.45,0.83,0.55,0.64,0.94,1.0,0.62,0.61,0.55,0.98,1.0,0.91,0.64,0.57,0.38,1.0,0.32,0.31,0.56,0.57,0.83,0.5,1.0,0.67
chr1,19158712,0.48,0.39,0.89,0.85,0.83,1.0,0.86,0.23,0.72,0.48,0.55,0.94,0.68,0.69,0.96,0.93,0.14,0.71,0.92,0.92,0.85,0.68,0.81,0.72,0.84,0.22,0.48,0.35,0.55,0.69,0.67,0.48,0.58,0.65,0.44,0.51,0.5,0.96,0.67,0.84,0.37,0.24,0.18,0.89,0.23,0.23,0.19,0.26,0.7,0.19,0.85,0.48
chr1,19177041,0.85,0.54,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.48,0.7,1.0,1.0,1.0,1.0,1.0,0.54,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.62,0.67,0.49,0.71,0.68,0.62,0.66,0.95,1.0,0.7,0.66,0.74,1.0,0.94,0.77,0.61,0.61,0.61,1.0,0.4,0.64,0.61,0.45,0.88,0.52,1.0,0.66
